time,Azimuth:,Pitch:,Roll:
18.674,-126.972,-86.715,36.027
18.690,-126.839,-86.715,36.027
18.693,-114.097,-87.410,48.814
18.716,-127.904,-87.014,34.992
18.739,-133.894,-87.470,29.055
18.758,-131.952,-87.135,30.964
18.759,-131.439,-87.135,30.964
18.775,-129.823,-86.851,32.471
18.794,-123.588,-86.933,38.660
18.816,-117.327,-87.323,45.000
18.840,-113.899,-87.220,48.366
18.858,-114.145,-86.920,48.013
18.893,-110.876,-87.136,51.340
18.894,-111.353,-87.136,51.340
18.894,-106.630,-87.599,56.310
18.915,-129.561,-87.663,33.690
18.934,-122.746,-88.022,40.601
18.960,-122.007,-87.762,41.186
18.960,-124.910,-87.762,41.186
18.974,-113.686,-87.643,52.125
18.994,-116.835,-88.107,49.399
19.014,-116.852,-88.127,49.399
19.034,-124.982,-87.856,41.186
19.054,-117.472,-87.606,48.366
19.074,-121.466,-88.324,45.000
19.087,-122.991,-88.324,45.000
19.093,-132.615,-88.318,35.538
19.114,-129.809,-87.772,37.875
19.133,-132.665,-87.639,34.992
19.154,-131.069,-88.071,36.870
19.155,-130.079,-88.071,36.870
19.175,-128.844,-87.787,37.875
19.193,-130.065,-88.052,36.870
19.214,-126.373,-88.198,40.601
19.287,-124.112,-88.198,40.601
19.304,-119.532,-87.989,45.000
19.354,-118.411,-87.989,45.000
19.373,-134.735,-87.343,28.610
19.444,-128.263,-87.322,34.992
19.487,-128.587,-87.322,34.992
19.515,-118.550,-87.388,45.000
19.555,-119.918,-87.388,45.000
19.584,-131.165,-87.409,33.690
19.658,-129.259,-87.956,35.538
19.687,-131.867,-87.956,35.538
19.724,-122.908,-87.356,45.000
19.754,-131.690,-87.356,45.000
19.794,-131.646,-87.398,45.000
19.865,-138.987,-87.855,36.870
19.892,-144.623,-87.855,36.870
19.934,-151.869,-87.909,29.055
19.956,-153.169,-87.909,29.055
20.004,-145.138,-87.764,37.875
20.075,-138.449,-87.796,45.000
20.092,-134.730,-87.796,45.000
20.144,-145.306,-87.871,33.690
20.155,-139.313,-87.871,33.690
20.214,-142.725,-88.339,29.745
20.285,-143.854,-87.758,29.055
20.287,-136.799,-87.758,29.055
20.354,-141.512,-87.298,24.444
20.355,-139.188,-87.298,24.444
20.425,-139.598,-87.707,23.962
20.488,-138.429,-87.707,23.962
20.494,-112.190,-88.112,50.194
20.556,-111.229,-88.112,50.194
20.564,-121.678,-88.128,39.806
20.634,-120.082,-87.526,41.186
20.689,-121.502,-87.526,41.186
20.709,-121.537,-87.585,41.186
20.755,-122.657,-87.585,41.186
20.774,-118.775,-87.592,45.000
20.895,-115.081,-87.810,48.814
20.895,-116.195,-87.810,48.814
20.918,-120.290,-88.052,45.000
20.955,-118.094,-88.052,45.000
20.983,-117.901,-87.811,45.000
21.054,-127.937,-87.598,34.992
21.088,-127.148,-87.598,34.992
21.124,-129.570,-87.334,32.471
21.154,-128.265,-87.334,32.471
21.194,-134.167,-87.091,26.565
21.265,-134.295,-87.519,26.565
21.292,-134.004,-87.519,26.565
21.334,-123.575,-86.497,36.870
21.356,-125.213,-86.497,36.870
21.404,-124.057,-87.280,37.875
21.474,-112.479,-87.827,49.399
21.493,-115.276,-87.827,49.399
21.544,-132.377,-87.026,32.471
21.555,-138.635,-87.026,32.471
21.614,-129.639,-87.317,41.634
21.685,-126.081,-87.601,45.000
21.688,-133.491,-87.601,45.000
21.755,-144.991,-88.111,32.005
21.755,-146.885,-88.111,32.005
21.825,-138.515,-87.915,41.186
21.889,-134.448,-87.915,41.186
21.893,-134.423,-87.639,41.634
21.956,-128.948,-87.639,41.634
21.970,-132.439,-87.756,37.875
22.034,-125.306,-87.982,45.000
22.089,-119.354,-87.982,45.000
22.106,-119.443,-87.844,45.000
22.156,-116.294,-87.844,45.000
22.174,-119.759,-87.307,41.634
22.244,-122.774,-86.996,38.660
22.289,-122.170,-86.996,38.660
22.316,-128.359,-86.851,32.471
22.357,-128.057,-86.851,32.471
22.384,-119.445,-87.421,41.186
22.455,-122.758,-87.346,37.875
22.490,-123.042,-87.346,37.875
22.524,-123.100,-87.450,37.875
22.557,-125.020,-87.450,37.875
22.594,-125.135,-87.608,37.875
22.665,-128.054,-87.573,34.992
22.691,-128.797,-87.573,34.992
22.734,-129.852,-87.211,33.690
22.756,-128.336,-87.211,33.690
22.804,-128.323,-87.192,33.690
22.874,-124.420,-87.709,37.875
22.889,-123.267,-87.709,37.875
22.944,-134.969,-88.124,26.565
22.956,-134.909,-88.124,26.565
23.014,-112.328,-87.641,48.814
23.085,-130.230,-87.361,30.964
23.089,-130.572,-87.361,30.964
23.155,-120.338,-87.464,41.186
23.155,-122.112,-87.464,41.186
23.225,-118.294,-87.598,45.000
23.290,-121.631,-87.598,45.000
23.293,-131.714,-87.100,34.992
23.357,-139.108,-87.100,34.992
23.373,-139.068,-87.148,34.992
23.434,-135.581,-87.147,38.660
23.490,-141.624,-87.147,38.660
23.505,-141.836,-87.600,37.875
23.557,-143.585,-87.600,37.875
23.574,-136.730,-87.743,45.000
23.644,-144.948,-88.307,35.538
23.690,-143.753,-88.307,35.538
23.715,-142.807,-88.025,36.870
23.757,-134.593,-88.025,36.870
23.784,-142.215,-87.924,29.055
23.855,-147.106,-87.919,23.962
23.890,-141.468,-87.919,23.962
23.924,-135.659,-88.203,29.745
23.957,-133.598,-88.203,29.745
23.994,-131.419,-87.839,32.005
24.065,-115.742,-86.805,48.013
24.090,-114.515,-86.805,48.013
24.134,-123.885,-86.854,38.660
24.156,-122.770,-86.854,38.660
24.204,-129.784,-87.777,32.005
24.274,-122.834,-87.044,38.660
24.290,-123.548,-87.044,38.660
24.345,-135.892,-87.035,26.565
24.357,-137.853,-87.035,26.565
24.414,-126.618,-87.608,37.875
24.485,-104.569,-88.391,60.255
24.490,-105.088,-88.391,60.255
24.554,-101.750,-88.239,63.435
24.557,-100.485,-88.239,63.435
24.625,-114.582,-88.185,49.399
24.690,-113.549,-88.185,49.399
24.693,-111.590,-87.105,50.711
24.758,-111.732,-87.105,50.711
24.774,-127.662,-87.402,34.992
24.834,-114.160,-87.317,48.366
24.891,-114.741,-87.317,48.366
24.910,-118.138,-87.732,45.000
24.958,-119.519,-87.732,45.000
24.974,-119.607,-87.323,45.000
25.045,-127.618,-87.634,36.870
25.091,-131.993,-87.634,36.870
25.116,-131.162,-87.346,37.875
25.157,-137.542,-87.346,37.875
25.184,-130.003,-88.079,45.000
25.254,-134.833,-88.312,39.806
25.291,-138.778,-88.312,39.806
25.324,-138.021,-87.794,41.186
25.358,-141.394,-87.794,41.186
25.396,-151.138,-87.673,30.964
25.464,-144.555,-87.764,37.875
25.492,-141.550,-87.764,37.875
25.534,-138.146,-87.606,41.634
25.558,-130.188,-87.606,41.634
25.605,-122.149,-88.114,49.399
25.674,-133.864,-87.555,37.875
25.691,-127.820,-87.555,37.875
25.745,-138.763,-87.967,26.565
25.758,-135.157,-87.967,26.565
25.814,-128.133,-87.472,33.690
25.885,-124.955,-87.584,36.870
25.891,-122.926,-87.584,36.870
25.954,-126.090,-87.398,33.690
25.958,-124.985,-87.398,33.690
26.025,-113.249,-86.683,45.000
26.092,-113.217,-86.683,45.000
26.095,-119.936,-87.079,38.660
26.158,-121.804,-87.079,38.660
26.174,-115.717,-87.537,45.000
26.235,-129.362,-88.042,32.005
26.292,-130.037,-88.042,32.005
26.305,-112.966,-87.589,48.366
26.359,-113.485,-87.589,48.366
26.374,-137.304,-87.164,24.775
26.444,-133.577,-87.509,28.610
26.493,-132.061,-87.509,28.610
26.516,-115.856,-88.252,45.000
26.559,-116.102,-88.252,45.000
26.584,-115.978,-87.869,45.000
26.654,-120.424,-87.937,40.601
26.692,-120.478,-87.937,40.601
26.724,-129.074,-87.821,32.005
26.759,-130.885,-87.821,32.005
26.795,-127.115,-86.770,36.027
26.863,-141.067,-87.462,21.801
26.893,-143.950,-87.462,21.801
26.934,-125.334,-87.888,40.601
26.960,-130.530,-87.888,40.601
27.004,-126.047,-88.094,45.000
27.073,-121.839,-88.022,49.399
27.091,-126.651,-88.022,49.399
27.144,-126.544,-88.101,49.399
27.158,-128.022,-88.101,49.399
